questionText,options,correctOption
"Which 19th-century inventor is widely regarded as the 'Father of the Computer' for designing the Analytical Engine?","A) Alan Turing, B) Charles Babbage, C) Blaise Pascal, D) John von Neumann","B"
"First-generation computers (1940-1956) were characterized by the use of which technology for circuitry?","A) Transistors, B) Integrated Circuits, C) Microprocessors, D) Vacuum Tubes","D"
"What was the primary technological breakthrough of the Second Generation of computers?","A) The invention of the Transistor, B) The development of the World Wide Web, C) The use of Artificial Intelligence, D) The creation of Magnetic Tapes","A"
"Which generation of computers saw the introduction of the microprocessor, allowing the entire CPU to fit on a single chip?","A) Second Generation, B) Third Generation, C) Fourth Generation, D) Fifth Generation","C"
"The concept that data and programs should be stored in the same memory unit is known as:","A) The Babbage Principle, B) Von Neumann Architecture, C) Moore’s Law, D) The Turing Test","B"
"In the Information Processing Cycle (IPOS), what is the correct order of stages?","A) Processing; Input; Storage; Output, B) Input; Processing; Output; Storage, C) Input; Storage; Output; Processing, D) Storage; Input; Processing; Output","B"
"Which part of the CPU is responsible for performing mathematical calculations and logical comparisons?","A) Control Unit (CU), B) Registers, C) Arithmetic Logic Unit (ALU), D) System Clock","C"
"Which of the following is a 'Volatile' form of memory?","A) SSD (Solid State Drive), B) ROM (Read-Only Memory), C) RAM (Random Access Memory), D) HDD (Hard Disk Drive)","C"
"Which storage technology uses flash memory and has no moving parts, making it faster than a traditional hard drive?","A) Magnetic Tape, B) SSD, C) CD-ROM, D) Floppy Disk","B"
"What is the primary role of the Operating System (OS)?","A) To browse the internet, B) To manage hardware resources and provide a user interface, C) To create spreadsheets and documents, D) To protect the computer from physical damage","B"
"Which category of software is specifically designed to perform maintenance tasks like defragmentation or virus scanning?","A) Application Software, B) System Software (Utilities), C) Device Drivers, D) Firmware","B"
"Which of these is considered an 'Input' device?","A) Plotter, B) Monitor, C) Biometric Scanner, D) Projector","C"
"What is the purpose of a 'Device Driver'?","A) To speed up the internet connection, B) To allow the OS to communicate with a specific piece of hardware, C) To encrypt the hard drive, D) To translate binary into English","B"
"The 'Kernel' is the core component of which software?","A) Microsoft Word, B) The Operating System, C) Google Chrome, D) Antivirus software","B"
"Which component acts as the 'middleman' between the user's software and the computer's hardware?","A) The CPU, B) The BIOS, C) The Operating System, D) The RAM","C"
"How many bits are contained in one single Byte?","A) 4, B) 8, C) 16, D) 32","B"
"Which of the following units represents the largest amount of data?","A) 1024 Kilobytes, B) 1 Gigabyte, C) 1 Terabyte, D) 1024 Megabytes","C"
"Convert the binary number 1011 to its decimal (Base 10) equivalent.","A) 9, B) 11, C) 13, D) 15","B"
"What is the binary representation of the decimal number 5?","A) 101, B) 111, C) 011, D) 110","A"
"Which encoding standard was developed to represent every character from every language in the world, including emojis?","A) ASCII, B) Binary, C) Unicode, D) Hexadecimal","C"
"In a flowchart, what does the 'Parallelogram' symbol represent?","A) A logical decision, B) The start or end of the program, C) Input or Output operations, D) A process or calculation","C"
"What shape is used in a flowchart to represent a 'Decision' or 'Condition'?","A) Oval, B) Diamond, C) Rectangle, D) Circle","B"
"A step-by-step set of instructions designed to solve a specific problem is called:","A) A Program, B) An Algorithm, C) A Flowchart, D) A Variable","B"
"Which algorithmic structure involves repeating a set of steps until a condition is met?","A) Sequence, B) Selection, C) Iteration (Loop), D) Branching","C"
"What does the 'Oval' symbol represent in a standard flowchart?","A) A Process, B) Input/Output, C) Terminal (Start/Stop), D) Storage","C"